J0629+2415       97.273867     24.262028   0.476623  2.00e-15     8.800      3.20       84.18   -1.50    1.81  
J0630-0046       97.612317     -0.768292   0.680575  3.75e-15     5.710      0.41       97.30       *       *  
J0630-2834       97.705852    -28.578550   1.244419  7.12e-15    58.200     23.00       34.42   -1.70    1.75  
J0633-2015       98.286917    -20.251972   3.253211  3.82e-15    60.000      0.20       90.70       *       *  
J0636-4549       99.140600    -45.825728   1.984597  3.17e-15    18.000      0.10       26.31       *       *  
J0645+5158      101.496175     51.970811   0.008853  4.92e-21     0.086      0.29       18.25       *    1.69  
J0646+0905      101.629146      9.097028   0.903913  7.36e-16    20.270      3.60      149.00       *       *  
J0647+0913      101.815333      9.233194   1.234854  6.42e-15    11.620      0.18      154.70       *       *  
J0652-0142      103.046275     -1.708417   0.924054  1.52e-16    23.890      0.41      116.30       *       *  
J0653+8051      103.312875     80.866728   1.214441  3.80e-15    13.900      0.40       33.32   -1.50    2.17  
J0656-2228      104.125862    -22.473764   1.224754  2.67e-17    16.000      0.60       32.39       *       *  
J0658+0022      104.563371      0.376472   0.563295  9.15e-15    12.670      0.13      122.00       *       *  
J0659+1414      104.950558     14.239306   0.384891  5.50e-14    18.400      3.70       14.08   -1.10    0.45  
J0700+6418      105.157508     64.303111   0.195671  6.85e-19     6.000      0.30        8.77   -2.20    2.81  
J0711-6830      107.975788    -68.513171   0.005491  1.49e-20     1.092      3.20       18.41   -1.70    0.91  
J0719-2545      109.780750    -25.750064   0.974725  7.28e-15    17.000      0.30      253.89       *       *  
J0721-2038      110.428770    -20.635295   0.015542  4.40e-20     0.640      0.63       76.10       *       *  
J0725-1635      111.251684    -16.596060   0.424311  9.26e-17     4.100      0.33       98.98       *    1.99  
J0726-2612      111.533833    -26.210583   3.442308  2.93e-13    31.000      0.20       69.40       *       *  
J0729-1448      112.318542    -14.810222   0.251659  1.13e-13    12.500      0.70       92.30       *       *  
J0729-1836      112.384798    -18.611875   0.510160  1.90e-14     5.900      1.40       61.29   -1.60    1.66  
J0733-2345      113.352500    -23.765611   1.796250  5.70e-15    20.000      0.07      194.00       *       *  
J0737-2202      114.433629    -22.034811   0.320366  5.47e-15     6.300      0.47       95.70       *       *  
J0737-3039A     114.463535    -30.661310   0.022699  1.76e-18    14.300      1.60       48.92       *       *  
J0737-3039B     114.463535    -30.661310   2.773461  8.92e-16    58.000      1.30       48.92       *       *  
J0738-4042      114.634704    -40.711372   0.374920  1.62e-15    29.000     80.00      160.80       *    0.69  
J0742-2822      115.704408    -28.378822   0.166762  1.68e-14     5.400     15.00       73.78   -2.00    2.38  
J0746-4529      116.747992    -45.490736   2.791025  1.67e-14    39.000      0.20      134.57       *       *  
J0749-4247      117.456979    -42.795039   1.095452  9.77e-16    20.000      0.60      104.59       *    2.07  
J0751+1807      117.788147     18.127357   0.003479  7.79e-21     0.700      3.20       30.25   -1.60    0.91  
J0754+3231      118.669533     32.532278   1.442349  1.08e-15    12.200      0.60       39.99   -1.50    2.07  
J0758-1528      119.621128    -15.469094   0.682265  1.62e-15     7.600      2.00       63.33   -1.60    1.13  
J0804-3647      121.092500    -36.793194   2.191987  4.21e-15    37.950      0.29      196.00       *       *  
J0807-5421      121.946604    -54.357350   0.526644  3.78e-16    11.000      0.35      165.03       *       *  
J0808-3937      122.048458    -39.631361   0.866349  4.01e-16    13.190      0.21      165.00       *       *  
J0809-4753      122.432875    -47.898650   0.547199  3.08e-15    15.000      3.00      228.30       *    2.18  
J0812-3905      123.061675    -39.096922   0.482596  4.49e-17    37.060      0.88      327.00       *       *  
J0814+7429      123.747917     74.484917   1.292241  1.68e-16    41.400     10.00        5.75   -1.70    1.13  
J0818-3049      124.705417    -30.825278   0.763742  5.80e-16     6.410      0.45      133.70       *       *  
J0818-3232      124.608063    -32.541814   2.161259  7.53e-16    21.000      0.50      131.80       *       *  
J0820-1350      125.109924    -13.848850   1.238130  2.11e-15    22.100      7.00       40.94   -2.20    2.14  
J0820-3826      125.249717    -38.445244   0.124836  2.44e-15     6.600      1.25      195.56       *       *  
J0820-3921      125.204625    -39.365472   1.073567  1.22e-14    44.000      0.20      179.40       *       *  
J0820-4114      125.064375    -41.243444   0.545446  1.89e-17   135.000      5.20      113.40       *    2.02  
J0821-4221      125.435983    -42.357072   0.396728  3.48e-15    17.000      0.20      270.60       *       *  
J0823+0159      125.790700      1.986781   0.864873  1.05e-16    21.200      1.50       23.73   -2.30    2.39  
J0826+2637      126.714097     26.623275   0.530661  1.71e-15     5.800     10.00       19.48   -1.60    1.59  
J0828-3417      127.069273    -34.285291   1.848919  9.96e-16   740.000      0.25       52.20       *    3.32  
J0831-4406      127.885125    -44.103306   0.311674  1.28e-15     6.100      0.43      254.00       *       *  
J0834-4159      128.567917    -41.997500   0.121116  4.44e-15     5.800      0.19      240.50       *       *  
J0835-3707      128.762833    -37.130972   0.541404  9.78e-15     4.900      0.28      112.30       *       *  
J0835-4510      128.835881    -45.176354   0.089328  1.25e-13     2.100   1100.00       67.99       *    1.21  
J0837+0610      129.273508      6.170711   1.273768  6.80e-15    23.900      4.00       12.86   -2.70    2.48  
J0837-4135      129.338257    -41.587325   0.751624  3.54e-15     8.900     16.00      147.29       *    2.00  
J0838-2621      129.578338    -26.358208   0.308581  3.90e-17     7.000      0.20      116.90       *       *  
J0838-3947      129.628333    -39.789444   1.703946  8.13e-16    57.000      0.11      219.00       *       *  
J0840-5332      130.141167    -53.543194   0.720612  1.64e-15    23.000      2.00      156.50       *    1.80  
J0842-4851      130.522375    -48.855778   0.644354  9.50e-15     8.300      0.62      196.85       *    1.84  
J0843-5022      130.791183    -50.378639   0.208956  1.72e-16     6.100      0.31      178.47       *       *  
J0846-3533      131.525252    -35.561292   1.116097  1.60e-15    22.000      2.70       94.16       *    1.42  
J0855-3331      133.910056    -33.527584   1.267536  6.32e-15    22.800      0.60       86.64   -1.90    2.04  
